lr-AdamW,step,val_loss_clf,val_acc,val_loss_total,epoch,train_loss_clf,train_acc,train_loss_total
0.0003659087271532977,1711,,,,,,,
,1739,0.3365601897239685,0.8811072111129761,0.3365601897239685,59,,,
,1739,,,,59,0.34444746375083923,0.8830819129943848,0.34444746375083923
0.00037552716470323896,1740,,,,,,,
,1768,0.42046481370925903,0.8549909591674805,0.42046481370925903,60,,,
,1768,,,,60,0.33942148089408875,0.8857758641242981,0.33942148089408875
0.0003852098262479459,1769,,,,,,,
,1797,0.34427571296691895,0.9030664563179016,0.34427571296691895,61,,,
,1797,,,,61,0.3352913558483124,0.8926724195480347,0.3352913558483124
0.0003949524074543366,1798,,,,,,,
,1826,0.33683905005455017,0.8991295099258423,0.33683905005455017,62,,,
,1826,,,,62,0.3073843717575073,0.8995689749717712,0.3073843717575073
0.00040475057735262637,1827,,,,,,,
,1855,0.29595404863357544,0.9194257855415344,0.29595404863357544,63,,,
,1855,,,,63,0.28887704014778137,0.909267246723175,0.28887704014778137
0.00041459998026161784,1856,,,,,,,
,1884,0.3321380019187927,0.9022350311279297,0.3321380019187927,64,,,
,1884,,,,64,0.28999730944633484,0.90625,0.28999730944633484
0.0004244962377249761,1885,,,,,,,
,1913,0.35405007004737854,0.8943610191345215,0.35405007004737854,65,,,
,1913,,,,65,0.26836293935775757,0.912392258644104,0.26836293935775757
0.0004344349504576303,1914,,,,,,,
,1942,0.43651002645492554,0.8858757019042969,0.43651002645492554,66,,,
,1942,,,,66,0.27117493748664856,0.9142241477966309,0.27117493748664856
0.00044441170030143145,1943,,,,,,,
,1971,0.288648784160614,0.8912553787231445,0.288648784160614,67,,,
,1971,,,,67,0.2727060914039612,0.9096982479095459,0.2727060914039612
0.00045442205218920316,1972,,,,,,,
,2000,0.3049602806568146,0.8951924443244934,0.3049602806568146,68,,,
,2000,,,,68,0.2536436915397644,0.9190732836723328,0.2536436915397644
0.00046446155611630654,2001,,,,,,,
,2029,0.3022712767124176,0.9132146835327148,0.3022712767124176,69,,,
,2029,,,,69,0.24407117068767548,0.9170258641242981,0.24407117068767548
0.0004745257491188472,2030,,,,,,,
,2058,0.35014039278030396,0.8883699178695679,0.35014039278030396,70,,,
,2058,,,,70,0.23936042189598083,0.9211207032203674,0.23936042189598083
0.00048461015725764203,2059,,,,,,,
,2087,0.3726798892021179,0.8738445043563843,0.3726798892021179,71,,,
,2087,,,,71,0.2484327107667923,0.9200431108474731,0.2484327107667923
0.0004947102976070658,2088,,,,,,,
,2116,0.28751832246780396,0.9045091867446899,0.28751832246780396,72,,,
,2116,,,,72,0.22264835238456726,0.9262930750846863,0.22264835238456726
0.0005048216802478918,2117,,,,,,,
,2145,0.26964548230171204,0.9146574139595032,0.26964548230171204,73,,,
,2145,,,,73,0.20766374468803406,0.934482753276825,0.20766374468803406
0.0005149398102632418,2146,,,,,,,
,2174,0.2785544991493225,0.9014036059379578,0.2785544991493225,74,,,
,2174,,,,74,0.20075415074825287,0.9337284564971924,0.20075415074825287
0.0005250601897367581,2175,,,,,,,
,2203,0.3693067133426666,0.878832995891571,0.3693067133426666,75,,,
,2203,,,,75,0.19593366980552673,0.935775876045227,0.19593366980552673
0.0005351783197521083,2204,,,,,,,
,2232,0.2974499762058258,0.903677761554718,0.2974499762058258,76,,,
,2232,,,,76,0.20297746360301971,0.9332973957061768,0.20297746360301971
0.0005452897023929342,2233,,,,,,,
,2261,0.29034948348999023,0.9272997975349426,0.29034948348999023,77,,,
,2261,,,,77,0.19460564851760864,0.9363146424293518,0.19460564851760864
0.000555389842742358,2262,,,,,,,
,2290,0.3459203243255615,0.884212851524353,0.3459203243255615,78,,,
,2290,,,,78,0.18797194957733154,0.9413793087005615,0.18797194957733154
0.0005654742508811527,2291,,,,,,,
,2319,0.3969934582710266,0.8742847442626953,0.3969934582710266,79,,,
,2319,,,,79,0.19177281856536865,0.9375,0.19177281856536865
0.0005755384438836934,2320,,,,,,,
,2348,0.29043519496917725,0.8966352343559265,0.29043519496917725,80,,,
,2348,,,,80,0.19265101850032806,0.9380387663841248,0.19265101850032806
0.0005855779478107969,2349,,,,,,,
,2377,0.2933889329433441,0.9225314259529114,0.2933889329433441,81,,,
,2377,,,,81,0.17071184515953064,0.9465517401695251,0.17071184515953064
0.0005955882996985685,2378,,,,,,,
,2406,0.35129332542419434,0.8898126482963562,0.35129332542419434,82,,,
,2406,,,,82,0.1767817884683609,0.9423491358757019,0.1767817884683609
0.0006055650495423697,2407,,,,,,,
,2435,0.25151804089546204,0.9287425875663757,0.25151804089546204,83,,,
,2435,,,,83,0.1694323718547821,0.943857729434967,0.1694323718547821
0.0006155037622750238,2436,,,,,,,
,2464,0.29103392362594604,0.9264684915542603,0.29103392362594604,84,,,
,2464,,,,84,0.16600139439105988,0.9449353218078613,0.16600139439105988
0.0006254000197383822,2465,,,,,,,
,2493,0.33084362745285034,0.9185943603515625,0.33084362745285034,85,,,
,2493,,,,85,0.15923252701759338,0.9493534564971924,0.15923252701759338
0.0006352494226473735,2494,,,,,,,
,2522,0.25733062624931335,0.9148775339126587,0.25733062624931335,86,,,
,2522,,,,86,0.16848470270633698,0.9449353218078613,0.16848470270633698
0.0006450475925456635,2523,,,,,,,
,2551,0.34606504440307617,0.9279111623764038,0.34606504440307617,87,,,
,2551,,,,87,0.15834484994411469,0.945366382598877,0.15834484994411469
0.0006547901737520542,2552,,,,,,,
,2580,0.2745310068130493,0.9154888391494751,0.2745310068130493,88,,,
,2580,,,,88,0.13991528749465942,0.9540948271751404,0.13991528749465942
0.000664472835296761,2581,,,,,,,
,2609,0.3757050037384033,0.9028463363647461,0.3757050037384033,89,,,
,2609,,,,89,0.15168218314647675,0.9512931108474731,0.15168218314647675
0.0006740912728467022,2610,,,,,,,
,2638,0.36541956663131714,0.8982980847358704,0.36541956663131714,90,,,
,2638,,,,90,0.15390166640281677,0.950107753276825,0.15390166640281677
0.000683641210618949,2639,,,,,,,
,2667,0.36150282621383667,0.9177629351615906,0.36150282621383667,91,,,
,2667,,,,91,0.14519472420215607,0.9542025923728943,0.14519472420215607
0.0006931184032814826,2668,,,,,,,
,2696,0.2859770953655243,0.933510959148407,0.2859770953655243,92,,,
,2696,,,,92,0.1482160985469818,0.9508620500564575,0.1482160985469818
0.0007025186378404162,2697,,,,,,,
,2725,0.32817313075065613,0.9217000007629395,0.32817313075065613,93,,,
,2725,,,,93,0.1398724913597107,0.954525887966156,0.1398724913597107
0.0007118377355128394,2726,,,,,,,
,2754,0.36608821153640747,0.9014036059379578,0.36608821153640747,94,,,
,2754,,,,94,0.12709780037403107,0.9575430750846863,0.12709780037403107
0.0007210715535844568,2755,,,,,,,
,2783,0.2721926271915436,0.9030664563179016,0.2721926271915436,95,,,
