lr-AdamW,step,val_loss_clf,val_acc,val_loss_total,epoch,train_loss_clf,train_acc,train_loss_total
0.00011999999999999988,0,,,,,,,
,91,2.775157928466797,0.21652130782604218,2.775157928466797,0,,,
,91,,,,0,2.9004244804382324,0.1009153351187706,2.9004244804382324
0.00012032006900215006,92,,,,,,,
,183,2.58044695854187,0.2436531037092209,2.58044695854187,1,,,
,183,,,,1,2.784581422805786,0.14686691761016846,2.784581422805786
0.00012128013372503547,184,,,,,,,
,275,2.3961057662963867,0.2600290775299072,2.3961057662963867,2,,,
,275,,,,2,2.6444036960601807,0.1834886372089386,2.6444036960601807
0.0001228797673812152,276,,,,,,,
,367,2.277796983718872,0.2919089198112488,2.277796983718872,3,,,
,367,,,,3,2.495957136154175,0.2182580679655075,2.495957136154175
0.00012511825886909458,368,,,,,,,
,459,2.1955363750457764,0.32228681445121765,2.1955363750457764,4,,,
,459,,,,4,2.377732753753662,0.2443402260541916,2.377732753753662
0.0001279946130890398,460,,,,,,,
,551,2.0771617889404297,0.356540709733963,2.0771617889404297,5,,,
,551,,,,5,2.2731642723083496,0.2792326509952545,2.2731642723083496
0.00013150755138573687,552,,,,,,,
,643,2.0084152221679688,0.3737887740135193,2.0084152221679688,6,,,
,643,,,,6,2.1913886070251465,0.29466649889945984,2.1913886070251465
0.00013565551211661012,644,,,,,,,
,735,1.956209421157837,0.38604649901390076,1.956209421157837,7,,,
,735,,,,7,2.134936571121216,0.3101195991039276,2.134936571121216
0.00014043665134603166,736,,,,,,,
,827,1.9228798151016235,0.3946705460548401,1.9228798151016235,8,,,
,827,,,,8,2.0567362308502197,0.33474740386009216,2.0567362308502197
0.00014584884366502507,828,,,,,,,
,919,1.8501203060150146,0.44055232405662537,1.8501203060150146,9,,,
,919,,,,9,1.997779369354248,0.35367894172668457,1.997779369354248
0.00015188968313609857,920,,,,,,,
,1011,1.8206024169921875,0.43430233001708984,1.8206024169921875,10,,,
,1011,,,,10,1.965561032295227,0.3646295964717865,1.965561032295227
0.00015855648436277712,1012,,,,,,,
,1103,1.7975082397460938,0.4491763710975647,1.7975082397460938,11,,,
,1103,,,,11,1.9185353517532349,0.3778136074542999,1.9185353517532349
0.00016584628368337137,1104,,,,,,,
,1195,1.7494102716445923,0.4491763710975647,1.7494102716445923,12,,,
,1195,,,,12,1.8733824491500854,0.39569786190986633,1.8733824491500854
0.00017375584048844473,1196,,,,,,,
,1287,1.6985034942626953,0.4545542597770691,1.6985034942626953,13,,,
,1287,,,,13,1.838542103767395,0.40677469968795776,1.838542103767395
0.00018228163866139445,1288,,,,,,,
,1379,1.6799049377441406,0.4685562252998352,1.6799049377441406,14,,,
,1379,,,,14,1.765089988708496,0.4264802932739258,1.765089988708496
0.00019141988814150778,1380,,,,,,,
,1471,1.6463676691055298,0.4685562252998352,1.6463676691055298,15,,,
,1471,,,,15,1.7433223724365234,0.4344055652618408,1.7433223724365234
0.00020116652660879392,1472,,,,,,,
,1563,1.606654167175293,0.4748062193393707,1.606654167175293,16,,,
,1563,,,,16,1.700982689857483,0.4510922431945801,1.700982689857483
0.00021151722128985237,1564,,,,,,,
,1655,1.6048405170440674,0.47180232405662537,1.6048405170440674,17,,,
,1655,,,,17,1.653485894203186,0.4686833918094635,1.653485894203186
0.0002224673708839638,1656,,,,,,,
,1747,1.532383680343628,0.5114340782165527,1.532383680343628,18,,,
,1747,,,,18,1.6104079484939575,0.4805834889411926,1.6104079484939575
0.00023401210760855317,1748,,,,,,,
,1839,1.5453544855117798,0.48343023657798767,1.5453544855117798,19,,,
,1839,,,,19,1.5883115530014038,0.4821431338787079,1.5883115530014038
0.0002461462993631155,1840,,,,,,,
,1931,1.5412057638168335,0.4989340901374817,1.5412057638168335,20,,,
,1931,,,,20,1.539038062095642,0.49788016080856323,1.539038062095642
