lr-AdamW,step,train_loss_clf,train_acc,train_loss_total,epoch,val_loss_clf,val_acc,val_loss_total
,223,1.6435317993164062,0.39013671875,1.6435317993164062,13,,,
,223,,,,13,1.5023421049118042,0.4730769395828247,1.5023421049118042
0.00012919029438228423,224,,,,,,,
,239,1.6024821996688843,0.41455078125,1.6024821996688843,14,,,
,239,,,,14,1.4620901346206665,0.45692306756973267,1.4620901346206665
0.00014190017280749524,240,,,,,,,
,255,1.5324026346206665,0.4228515625,1.5324026346206665,15,,,
,255,,,,15,1.4708600044250488,0.4323076903820038,1.4708600044250488
0.00015535019940002325,256,,,,,,,
,271,1.5411123037338257,0.42724609375,1.5411123037338257,16,,,
,271,,,,16,1.4263100624084473,0.3823077082633972,1.4263100624084473
0.00016951404510119953,272,,,,,,,
,287,1.4860913753509521,0.4228515625,1.4860913753509521,17,,,
,287,,,,17,1.3548578023910522,0.45384615659713745,1.3548578023910522
0.0001843639835179292,288,,,,,,,
,303,1.4439573287963867,0.44140625,1.4439573287963867,18,,,
,303,,,,18,1.2947758436203003,0.5007692575454712,1.2947758436203003
0.0001998709451984077,304,,,,,,,
,319,1.4002045392990112,0.439453125,1.4002045392990112,19,,,
,319,,,,19,1.2289694547653198,0.48846158385276794,1.2289694547653198
0.00021600457453693745,320,,,,,,,
,335,1.330971360206604,0.470703125,1.330971360206604,20,,,
,335,,,,20,1.2259358167648315,0.4661538600921631,1.2259358167648315
0.00023273328919645243,336,,,,,,,
,351,1.318493127822876,0.4599609375,1.318493127822876,21,,,
,351,,,,21,1.1892235279083252,0.46307694911956787,1.1892235279083252
0.00025002434193242525,352,,,,,,,
,367,1.29123854637146,0.49658203125,1.29123854637146,22,,,
,367,,,,22,1.142636775970459,0.4753846228122711,1.142636775970459
0.00026784388469713665,368,,,,,,,
,383,1.292970895767212,0.48681640625,1.292970895767212,23,,,
,383,,,,23,1.1548584699630737,0.48153847455978394,1.1548584699630737
0.00028615703489881766,384,,,,,,,
,399,1.2027003765106201,0.50146484375,1.2027003765106201,24,,,
,399,,,,24,1.0466151237487793,0.4784615635871887,1.0466151237487793
0.00030492794368596236,400,,,,,,,
,415,1.2113981246948242,0.5029296875,1.2113981246948242,25,,,
,415,,,,25,1.0675514936447144,0.47769230604171753,1.0675514936447144
0.00032411986612313685,416,,,,,,,
,431,1.1628245115280151,0.52099609375,1.1628245115280151,26,,,
,431,,,,26,1.0346814393997192,0.5061538815498352,1.0346814393997192
0.00034369523312091665,432,,,,,,,
,447,1.1622354984283447,0.53076171875,1.1622354984283447,27,,,
,447,,,,27,0.9731595516204834,0.5776923298835754,0.9731595516204834
0.0003636157249791435,448,,,,,,,
,463,1.1171247959136963,0.53662109375,1.1171247959136963,28,,,
,463,,,,28,0.9770500659942627,0.6000000238418579,0.9770500659942627
0.00038384234639953754,464,,,,,,,
,479,1.1132621765136719,0.5458984375,1.1132621765136719,29,,,
,479,,,,29,0.9985002875328064,0.6361538767814636,0.9985002875328064
0.00040433550282082515,480,,,,,,,
,495,1.097877860069275,0.54931640625,1.097877860069275,30,,,
,495,,,,30,0.9136701822280884,0.6176923513412476,0.9136701822280884
0.0004250550779269517,496,,,,,,,
,511,1.0808637142181396,0.55517578125,1.0808637142181396,31,,,
,511,,,,31,0.9343577027320862,0.5930769443511963,0.9343577027320862
0.00044596051217665495,512,,,,,,,
,527,1.0284534692764282,0.56787109375,1.0284534692764282,32,,,
,527,,,,32,0.8979307413101196,0.5869230628013611,0.8979307413101196
0.0004670108822006704,528,,,,,,,
,543,1.0289561748504639,0.57177734375,1.0289561748504639,33,,,
,543,,,,33,0.944655179977417,0.6269230842590332,0.944655179977417
0.0004881649809111501,544,,,,,,,
,559,0.9698328971862793,0.5986328125,0.9698328971862793,34,,,
,559,,,,34,0.8175484538078308,0.6607692241668701,0.8175484538078308
0.0005093813981664703,560,,,,,,,
,575,0.9897130727767944,0.5830078125,0.9897130727767944,35,,,
,575,,,,35,0.8345143795013428,0.697692334651947,0.8345143795013428
0.0005306186018335297,576,,,,,,,
,591,0.9723587036132812,0.59375,0.9723587036132812,36,,,
,591,,,,36,0.9760793447494507,0.5930769443511963,0.9760793447494507
0.0005518350190888497,592,,,,,,,
,607,0.9242485165596008,0.6005859375,0.9242485165596008,37,,,
,607,,,,37,0.8746902942657471,0.5953845977783203,0.8746902942657471
0.0005729891177993294,608,,,,,,,
,623,0.9347774386405945,0.60888671875,0.9347774386405945,38,,,
,623,,,,38,0.8117412328720093,0.6638461351394653,0.8117412328720093
0.0005940394878233453,624,,,,,,,
,639,0.8728168606758118,0.623046875,0.8728168606758118,39,,,
,639,,,,39,0.7991340160369873,0.6946154236793518,0.7991340160369873
0.0006149449220730483,640,,,,,,,
,655,0.8322376012802124,0.66064453125,0.8322376012802124,40,,,
,655,,,,40,0.7792510390281677,0.681538462638855,0.7792510390281677
0.000635664497179175,656,,,,,,,
,671,0.8652483224868774,0.65283203125,0.8652483224868774,41,,,
,671,,,,41,0.6925530433654785,0.7223077416419983,0.6925530433654785
0.0006561576536004625,672,,,,,,,
,687,0.8241865038871765,0.65185546875,0.8241865038871765,42,,,
,687,,,,42,0.7130994200706482,0.7223077416419983,0.7130994200706482
0.0006763842750208564,688,,,,,,,
,703,0.7837897539138794,0.6845703125,0.7837897539138794,43,,,
,703,,,,43,0.740094780921936,0.7569230794906616,0.740094780921936
0.0006963047668790832,704,,,,,,,
,719,0.7983449101448059,0.69677734375,0.7983449101448059,44,,,
,719,,,,44,0.6853088140487671,0.7623077630996704,0.6853088140487671
0.0007158801338768633,720,,,,,,,
,735,0.7936335802078247,0.68896484375,0.7936335802078247,45,,,
,735,,,,45,0.6329427361488342,0.8215384483337402,0.6329427361488342
0.0007350720563140377,736,,,,,,,
