lr-AdamW,step,val_loss_clf,val_acc,val_loss_total,epoch,train_loss_clf,train_acc,train_loss_total
3.9999999999999996e-05,0,,,,,,,
,25,2.1651430130004883,0.32907193899154663,2.1651430130004883,0,,,
,25,,,,0,2.240098714828491,0.23557692766189575,2.240098714828491
4.0106689667383354e-05,26,,,,,,,
,51,2.041008949279785,0.3896460235118866,2.041008949279785,1,,,
,51,,,,1,2.14217472076416,0.319471150636673,2.14217472076416
4.042671124167849e-05,52,,,,,,,
,77,1.941016435623169,0.38750529289245605,1.941016435623169,2,,,
,77,,,,2,2.0519068241119385,0.32644230127334595,2.0519068241119385
4.095992246040507e-05,78,,,,,,,
,103,1.8487427234649658,0.4117771089076996,1.8487427234649658,3,,,
,103,,,,3,1.9840654134750366,0.3306490480899811,1.9840654134750366
4.170608628969834e-05,104,,,,,,,
,129,1.7524712085723877,0.4276970326900482,1.7524712085723877,4,,,
,129,,,,4,1.9018676280975342,0.35384616255760193,1.9018676280975342
4.26648710296799e-05,130,,,,,,,
,155,1.6606582403182983,0.4471145272254944,1.6606582403182983,5,,,
,155,,,,5,1.8346195220947266,0.3730769157409668,1.8346195220947266
4.383585046191236e-05,156,,,,,,,
,181,1.5746395587921143,0.44750651717185974,1.5746395587921143,6,,,
,181,,,,6,1.7634570598602295,0.38882210850715637,1.7634570598602295
4.5218504038870076e-05,182,,,,,,,
,207,1.5091702938079834,0.4674968123435974,1.5091702938079834,7,,,
,207,,,,7,1.7054448127746582,0.40060096979141235,1.7054448127746582
4.681221711534396e-05,208,,,,,,,
,233,1.4521256685256958,0.4878791868686676,1.4521256685256958,8,,,
,233,,,,8,1.665697693824768,0.42463943362236023,1.665697693824768
4.8616281221675094e-05,234,,,,,,,
,259,1.3863418102264404,0.49409037828445435,1.3863418102264404,9,,,
,259,,,,9,1.5849277973175049,0.44855770468711853,1.5849277973175049
5.062989437869963e-05,260,,,,,,,
,285,1.3256545066833496,0.5470964312553406,1.3256545066833496,10,,,
,285,,,,10,1.551618218421936,0.4603365361690521,1.551618218421936
5.2852161454259076e-05,286,,,,,,,
,311,1.3194259405136108,0.49001988768577576,1.3194259405136108,11,,,
,311,,,,11,1.4924918413162231,0.4764423072338104,1.4924918413162231
5.528209456112383e-05,312,,,,,,,
,337,1.2792060375213623,0.508653461933136,1.2792060375213623,12,,,
,337,,,,12,1.4517401456832886,0.48605769872665405,1.4517401456832886
5.7918613496148316e-05,338,,,,,,,
,363,1.2313954830169678,0.5037990808486938,1.2313954830169678,13,,,
,363,,,,13,1.4143117666244507,0.4942307770252228,1.4143117666244507
6.076054622046489e-05,364,,,,,,,
,389,1.1878941059112549,0.5265029668807983,1.1878941059112549,14,,,
,389,,,,14,1.3661227226257324,0.5055288672447205,1.3661227226257324
6.38066293805026e-05,390,,,,,,,
,415,1.1414316892623901,0.5804740190505981,1.1414316892623901,15,,,
,415,,,,15,1.347585916519165,0.4996394217014313,1.347585916519165
6.705550886959794e-05,416,,,,,,,
,441,1.1114978790283203,0.5635892152786255,1.1114978790283203,16,,,
,441,,,,16,1.3010056018829346,0.5246394276618958,1.3010056018829346
7.050574042995075e-05,442,,,,,,,
,467,1.075278401374817,0.5498100519180298,1.075278401374817,17,,,
,467,,,,17,1.2834973335266113,0.5275240540504456,1.2834973335266113
7.415579029465471e-05,468,,,,,,,
,493,1.0575649738311768,0.598142683506012,1.0575649738311768,18,,,
