lr-AdamW,step,val_loss_clf,val_acc,val_loss_total,epoch,train_loss_clf,train_acc,train_loss_total
3.9999999999999996e-05,0,,,,,,,
,28,2.268502712249756,0.24543944001197815,2.268502712249756,0,,,
,28,,,,0,2.3446292877197266,0.1717672348022461,2.3446292877197266
4.0106689667383354e-05,29,,,,,,,
,57,2.156503677368164,0.3307819962501526,2.156503677368164,1,,,
,57,,,,1,2.24833607673645,0.24342672526836395,2.24833607673645
4.042671124167849e-05,58,,,,,,,
,86,2.0540802478790283,0.36288943886756897,2.0540802478790283,2,,,
,86,,,,2,2.164325714111328,0.2966594696044922,2.164325714111328
4.095992246040507e-05,87,,,,,,,
,115,1.9554402828216553,0.3597838282585144,1.9554402828216553,3,,,
,115,,,,3,2.082951784133911,0.32769396901130676,2.082951784133911
4.170608628969834e-05,116,,,,,,,
,144,1.8782150745391846,0.37924879789352417,1.8782150745391846,4,,,
,144,,,,4,2.0138368606567383,0.3318965435028076,2.0138368606567383
4.26648710296799e-05,145,,,,,,,
,173,1.7892472743988037,0.4378637373447418,1.7892472743988037,5,,,
,173,,,,5,1.9559378623962402,0.35010775923728943,1.9559378623962402
4.383585046191236e-05,174,,,,,,,
,202,1.7188823223114014,0.44407492876052856,1.7188823223114014,6,,,
,202,,,,6,1.8885753154754639,0.3712284564971924,1.8885753154754639
4.5218504038870076e-05,203,,,,,,,
,231,1.6431471109390259,0.45444315671920776,1.6431471109390259,7,,,
,231,,,,7,1.830002784729004,0.385883629322052,1.830002784729004
4.681221711534396e-05,232,,,,,,,
,260,1.57968008518219,0.4840563237667084,1.57968008518219,8,,,
,260,,,,8,1.7762798070907593,0.39719828963279724,1.7762798070907593
4.8616281221675094e-05,261,,,,,,,
,289,1.537068247795105,0.4848877787590027,1.537068247795105,9,,,
,289,,,,9,1.717000126838684,0.4203663766384125,1.717000126838684
5.062989437869963e-05,290,,,,,,,
,318,1.4969217777252197,0.4780651926994324,1.4969217777252197,10,,,
,318,,,,10,1.6650094985961914,0.43308189511299133,1.6650094985961914
5.2852161454259076e-05,319,,,,,,,
,347,1.4621095657348633,0.48738202452659607,1.4621095657348633,11,,,
,347,,,,11,1.6143560409545898,0.45032328367233276,1.6143560409545898
5.528209456112383e-05,348,,,,,,,
,376,1.3930561542510986,0.5076783895492554,1.3930561542510986,12,,,
,376,,,,12,1.576870083808899,0.45355603098869324,1.576870083808899
5.7918613496148316e-05,377,,,,,,,
,405,1.3659825325012207,0.4981415271759033,1.3659825325012207,13,,,
,405,,,,13,1.5036636590957642,0.48254311084747314,1.5036636590957642
6.076054622046489e-05,406,,,,,,,
,434,1.3068065643310547,0.5333545207977295,1.3068065643310547,14,,,
,434,,,,14,1.4639604091644287,0.4877155125141144,1.4639604091644287
6.38066293805026e-05,435,,,,,,,
,463,1.2925771474838257,0.5178265571594238,1.2925771474838257,15,,,
,463,,,,15,1.4335627555847168,0.4950430989265442,1.4335627555847168
6.705550886959794e-05,464,,,,,,,
,492,1.2236249446868896,0.5507653951644897,1.2236249446868896,16,,,
,492,,,,16,1.3857759237289429,0.5074353218078613,1.3857759237289429
7.050574042995075e-05,493,,,,,,,
,521,1.1742559671401978,0.5743874311447144,1.1742559671401978,17,,,
,521,,,,17,1.341434359550476,0.5158405303955078,1.341434359550476
7.415579029465471e-05,522,,,,,,,
,550,1.1459710597991943,0.5679561495780945,1.1459710597991943,18,,,
,550,,,,18,1.3212177753448486,0.5294181108474731,1.3212177753448486
7.800403586951776e-05,551,,,,,,,
,579,1.0919889211654663,0.6102117300033569,1.0919889211654663,19,,,
,579,,,,19,1.2726473808288574,0.5354526042938232,1.2726473808288574
8.20487664543719e-05,580,,,,,,,
,608,1.08867609500885,0.5660732984542847,1.08867609500885,20,,,
,608,,,,20,1.2309824228286743,0.5456896424293518,1.2309824228286743
8.628818400354722e-05,609,,,,,,,
,637,1.0703787803649902,0.5865896940231323,1.0703787803649902,21,,,
,637,,,,21,1.1995240449905396,0.563900887966156,1.1995240449905396
9.072040392517637e-05,638,,,,,,,
,666,0.9994756579399109,0.614980161190033,0.9994756579399109,22,,,
,666,,,,22,1.1641640663146973,0.5628232955932617,1.1641640663146973
9.534345591897056e-05,667,,,,,,,
,695,0.9655492901802063,0.6133173704147339,0.9655492901802063,23,,,
,695,,,,23,1.1268844604492188,0.5822198390960693,1.1268844604492188
0.00010015528485209882,696,,,,,,,
,724,0.9540055990219116,0.6367193460464478,0.9540055990219116,24,,,
,724,,,,24,1.1146245002746582,0.5820043087005615,1.1146245002746582
0.00010515375167277608,725,,,,,,,
,753,0.9203416705131531,0.6240768432617188,0.9203416705131531,25,,,
,753,,,,25,1.0642269849777222,0.6009698510169983,1.0642269849777222
0.00011033663436115849,754,,,,,,,
,782,0.904025673866272,0.6406563520431519,0.904025673866272,26,,,
,782,,,,26,1.0635697841644287,0.5933189392089844,1.0635697841644287
0.0001157016289171207,783,,,,,,,
,811,0.9137932062149048,0.6122658848762512,0.9137932062149048,27,,,
,811,,,,27,1.0162864923477173,0.6146551966667175,1.0162864923477173
0.0001212463503844763,812,,,,,,,
,840,0.8381722569465637,0.6717122197151184,0.8381722569465637,28,,,
,840,,,,28,0.998630166053772,0.6160560250282288,0.998630166053772
0.00012696833391118753,841,,,,,,,
,869,0.8298424482345581,0.6539101600646973,0.8298424482345581,29,,,
,869,,,,29,0.9918156862258911,0.617133617401123,0.9918156862258911
0.00013286503584509102,870,,,,,,,
,898,0.8629142642021179,0.6381620168685913,0.8629142642021179,30,,,
,898,,,,30,0.9578831195831299,0.629741370677948,0.9578831195831299
0.00013893383486465337,899,,,,,,,
,927,0.8309369087219238,0.6392136216163635,0.8309369087219238,31,,,
,927,,,,31,0.9527549743652344,0.629741370677948,0.9527549743652344
0.00014517203314425465,928,,,,,,,
,956,0.8347331285476685,0.6855772733688354,0.8347331285476685,32,,,
,956,,,,32,0.9161126613616943,0.6445043087005615,0.9161126613616943
0.00015157685755348,957,,,,,,,
,985,0.7829499244689941,0.6779233813285828,0.7829499244689941,33,,,
,985,,,,33,0.9184429049491882,0.646767258644104,0.9184429049491882
0.00015814546088988837,986,,,,,,,
,1014,0.8056379556655884,0.6630067825317383,0.8056379556655884,34,,,
,1014,,,,34,0.871442973613739,0.6571120619773865,0.871442973613739
0.00016487492314470854,1015,,,,,,,
,1043,0.7512906193733215,0.6897344589233398,0.7512906193733215,35,,,
,1043,,,,35,0.8494137525558472,0.667133629322052,0.8494137525558472
0.0001717622528009001,1044,,,,,,,
,1072,0.7673312425613403,0.7116936445236206,0.7673312425613403,36,,,
,1072,,,,36,0.8591763973236084,0.6639008522033691,0.8591763973236084
0.0001788043881630041,1073,,,,,,,
