lr-AdamW,step,train_loss_clf,train_acc,train_loss_total,epoch,val_loss_clf,val_acc,val_loss_total
3.9999999999999996e-05,0,,,,,,,
,17,2.364417791366577,0.14785878360271454,2.364417791366577,0,,,
,17,,,,0,2.32926082611084,0.21813993155956268,2.32926082611084
4.046981127041262e-05,18,,,,,,,
,35,2.3064029216766357,0.2309027761220932,2.3064029216766357,1,,,
,35,,,,1,2.268343687057495,0.2667982876300812,2.268343687057495
4.18783254040265e-05,36,,,,,,,
,53,2.260852813720703,0.2395833283662796,2.260852813720703,2,,,
,53,,,,2,2.2139389514923096,0.2947283387184143,2.2139389514923096
4.422278516828099e-05,54,,,,,,,
,71,2.207858085632324,0.26331019401550293,2.207858085632324,3,,,
,71,,,,3,2.1556200981140137,0.29816481471061707,2.1556200981140137
4.749860117309176e-05,72,,,,,,,
,89,2.1643264293670654,0.2737268805503845,2.1643264293670654,4,,,
,89,,,,4,2.093869686126709,0.3398405909538269,2.093869686126709
5.169936085479667e-05,90,,,,,,,
,107,2.1143269538879395,0.3096064627170563,2.1143269538879395,5,,,
,107,,,,5,2.030763864517212,0.343386709690094,2.030763864517212
5.6816841029051204e-05,108,,,,,,,
,125,2.0712101459503174,0.3125,2.0712101459503174,6,,,
,125,,,,6,1.9639793634414673,0.35724207758903503,1.9639793634414673
6.284102398809689e-05,126,,,,,,,
,143,2.0084753036499023,0.32754629850387573,2.0084753036499023,7,,,
,143,,,,7,1.902472972869873,0.3364041745662689,1.902472972869873
6.976011711089562e-05,144,,,,,,,
,161,1.9402695894241333,0.3596643805503845,1.9402695894241333,8,,,
,161,,,,8,1.8416893482208252,0.35391533374786377,1.8416893482208252
7.756057594773846e-05,162,,,,,,,
,179,1.8969939947128296,0.36689817905426025,1.8969939947128296,9,,,
,179,,,,9,1.7780247926712036,0.36433425545692444,1.7780247926712036
8.622713073414218e-05,180,,,,,,,
,197,1.8383091688156128,0.37355321645736694,1.8383091688156128,10,,,
,197,,,,10,1.7249336242675781,0.364663302898407,1.7249336242675781
9.574281628213076e-05,198,,,,,,,
,215,1.7809453010559082,0.39091432094573975,1.7809453010559082,11,,,
,215,,,,11,1.6304501295089722,0.38882794976234436,1.6304501295089722
0.0001060890051903866,216,,,,,,,
,233,1.7122924327850342,0.4181134104728699,1.7122924327850342,12,,,
,233,,,,12,1.560416340827942,0.4063391387462616,1.560416340827942
0.00011724544430826464,234,,,,,,,
,251,1.687321662902832,0.4045138955116272,1.687321662902832,13,,,
,251,,,,13,1.524315595626831,0.40955621004104614,1.524315595626831
0.00012919029438228423,252,,,,,,,
,269,1.6297708749771118,0.41261571645736694,1.6297708749771118,14,,,
,269,,,,14,1.4782612323760986,0.39946624636650085,1.4782612323760986
0.00014190017280749524,270,,,,,,,
,287,1.5898569822311401,0.40567126870155334,1.5898569822311401,15,,,
,287,,,,15,1.4551246166229248,0.39602982997894287,1.4551246166229248
0.00015535019940002325,288,,,,,,,
,305,1.5254789590835571,0.43113425374031067,1.5254789590835571,16,,,
,305,,,,16,1.4112204313278198,0.4342692196369171,1.4112204313278198
0.00016951404510119953,306,,,,,,,
